T [K],beta [1e-6 K^-1]
310,40.14
330,40.08
350,40.14
370,40.26
390,40.53
400,40.68
420,41.1
440,41.67
460,42.36
480,43.2
500,44.19
520,45.36
540,46.68
560,48.21
580,49.89
600,51.78
620,53.88
630,55.02
631,55.15
632,55.04
633,54.93
634,54.82
635,54.71
636,54.59
637,54.48
638,54.37
639,54.26
640,54.15
641,54.04
642,53.92
643,53.81
644,53.7
645,53.59
650,53.03
668,51.01
688,48.78
750,49.36
763,49.54
800,50.58
820,50.97
840,51.42
860,51.9
880,52.41
900,52.98
920,53.58
940,54.21
960,54.9
980,55.05
1000,55.65
1020,56.37
1040,56.71
1060,57.61
1080,58.48
1100,59.04
