T [K],T [C],rho_r [e-8 Ohm-m]
310,36.85,6.67
330,56.85,7.63
350,76.85,8.57
370,96.85,9.52
390,116.85,10.48
400,126.85,10.98
420,146.85,12
440,166.85,13.09
460,186.85,14.24
480,206.85,15.49
500,226.85,16.84
520,246.85,18.31
540,266.85,19.92
560,286.85,21.69
580,306.85,23.62
600,326.85,25.74
620,346.85,28.06
630,356.85,29.01
631,357.85,29.05
632,358.85,29.09
633,359.85,29.13
634,360.85,29.18
635,361.85,29.22
636,362.85,29.26
637,363.85,29.3
638,364.85,29.34
639,365.85,29.38
640,366.85,29.42
650,376.85,29.82
700,426.85,31.79
750,476.85,33.67
800,526.85,35.47
820,546.85,36.16
840,566.85,36.84
850,576.85,37.17
860,586.85,37.5
880,606.85,38.16
900,626.85,38.79
920,646.85,39.42
940,666.85,40.02
950,676.85,40.32
960,686.85,40.62
980,706.85,41.2
1000,726.85,41.77
1050,776.85,43.12
1100,826.85,44.39
